
speed|altitude|gender|heart_rate|id|url|userId|timestamp|longitude|latitude|sport
6.8652|41.6|male|100|396826535|https://www.endomondo.com/users/10921915/workouts/396826535|10921915|2014-08-24 16:45:46|24.64977040886879|60.173348765820265|bike
16.4736|40.6|male|111|396826535|https://www.endomondo.com/users/10921915/workouts/396826535|10921915|2014-08-24 16:45:54|24.65014273300767|60.173239801079035|bike
19.1988|40.6|male|120|396826535|https://www.endomondo.com/users/10921915/workouts/396826535|10921915|2014-08-24 16:46:05|24.650910682976246|60.17298021353781|bike
20.4804|38.4|male|119|396826535|https://www.endomondo.com/users/10921915/workouts/396826535|10921915|2014-08-24 16:46:18|24.650668865069747|60.172477969899774|bike
31.3956|37.0|male|120|396826535|https://www.endomondo.com/users/10921915/workouts/396826535|10921915|2014-08-24 16:46:34|24.649145286530256|60.17186114564538|bike
31.8096|34.0|male|116|396826535|https://www.endomondo.com/users/10921915/workouts/396826535|10921915|2014-08-24 16:46:40|24.648349760100245|60.17154498025775|bike
24.39|34.0|male|125|396826535|https://www.endomondo.com/users/10921915/workouts/396826535|10921915|2014-08-24 16:47:03|24.645312326028943|60.1712366938591|bike
23.346|34.0|male|128|396826535|https://www.endomondo.com/users/10921915/workouts/396826535|10921915|2014-08-24 16:47:19|24.6447014529258|60.1705339550972|bike
26.2368|34.0|male|131|396826535|https://www.endomondo.com/users/10921915/workouts/396826535|10921915|2014-08-24 16:47:42|24.644415881484747|60.169210117310286|bike
28.4868|34.0|male|132|396826535|https://www.endomondo.com/users/10921915/workouts/396826535|10921915|2014-08-24 16:48:11|24.641415160149336|60.168469324707985|bike
28.4868|34.0|male|135|396826535|https://www.endomondo.com/users/10921915/workouts/396826535|10921915|2014-08-24 16:48:34|24.63826850987971|60.1681249961257|bike
27.6624|34.0|male|137|396826535|https://www.endomondo.com/users/10921915/workouts/396826535|10921915|2014-08-24 16:48:58|24.636211171746254|60.1667985599488|bike
24.8688|34.0|male|142|396826535|https://www.endomondo.com/users/10921915/workouts/396826535|10921915|2014-08-24 16:49:22|24.634060626849532|60.1658867765218|bike
25.794|34.0|male|143|396826535|https://www.endomondo.com/users/10921915/workouts/396826535|10921915|2014-08-24 16:49:35|24.63249195367098|60.165855176746845|bike
14.0868|34.0|male|143|396826535|https://www.endomondo.com/users/10921915/workouts/396826535|10921915|2014-08-24 16:49:50|24.631360983476043|60.16524790786207|bike
